dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0004-001-R0001,IL-MTFN-001-G-F-0004-001,Guest Book 1949-1953,"ספר אורחים 1949-1953: אורחים רושמים רשימות, שירים, ציורים ומדביקים תמונות מתעדות. לצד ישראלים מתארחים גם אנשי או""מ ותיירים רבים מארה""ב, יפן, גרמניה, שוויץ, והולנד. הספר כתוב בעיקר בעברית, גרמנית ואנגלית. רבים הוסיפו ליד שמם גם את עיסוקם, כגון: ""בעל מכבסת יהודית בחיפה"". רבים מהאורחים נהגו לחזור ולהתארח מדי שנה בשנה בפנסיון. הכותבים משבחים את האווירה, האוכל והטיפול. בין היתר מופיעים בספר האורחים: משה שרת, שרשם ב-1951: ""רק עוד קצת עברית - והכל יהיה נפלא""; אורח אחר רשם מתחת לדברי שרת: ""רק עוד קצת שרת - והכל יהיה עברית"". אורחים נוספים: אבא אבן, גרשם שלום, נחום גולדמן, גרדה והרמן צונדק, סוסקין, קבוצות עיתונאים שליד שמו של כל אחד מופיע שם העיתון בו עבד (בולט מספר העיתונים הרב); פקידים של משרדי ממשלה, ביניהם הנציג של ""המשרד הדרוזי"".","Gästebuch 1949-1953: Gäste schreiben Notizen, Gedichte, Zeichnungen und kleben dokumentierende Fotos ein. Neben Israelis sind auch UN-Mitarbeiter und viele Touristen aus den USA, Japan, Deutschland, der Schweiz und den Niederlanden zu Gast. Das Buch ist hauptsächlich in Hebräisch, Deutsch und Englisch geschrieben. Viele fügten neben ihrem Namen auch ihren Beruf hinzu, wie z.B.: ""Besitzer einer jüdischen Wäscherei in Haifa"". Viele der Gäste kehrten jedes Jahr in die Pension zurück. Die Autoren loben die Atmosphäre, das Essen und die Betreuung. Unter anderem erscheinen im Gästebuch: Mosche Scharet, der 1951 schrieb: ""Nur noch ein bisschen Hebräisch - und alles wird wunderbar""; ein anderer Gast schrieb unter Scharets Worten: ""Nur noch ein bisschen Scharet - und alles wird Hebräisch"". Weitere Gäste: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda und Hermann Zondek, Soskin, Journalistengruppen, bei denen neben jedem Namen der Name der Zeitung steht, in der er arbeitete (die Vielzahl der Zeitungen ist auffällig); Beamte von Regierungsbüros, darunter der Vertreter des ""Drusischen Büros"".","Guest Book 1949-1953: Guests write notes, poems, drawings, and paste documenting photos. Alongside Israelis, there are also UN personnel and many tourists from the USA, Japan, Germany, Switzerland, and the Netherlands. The book is mainly written in Hebrew, German, and English. Many added their occupation next to their name, such as: ""Owner of a Jewish laundry in Haifa"". Many of the guests used to return and stay every year at the pension. The writers praise the atmosphere, the food, and the care. Among others appearing in the guest book: Moshe Sharett, who wrote in 1951: ""Just a little more Hebrew - and everything will be wonderful""; another guest wrote under Sharett's words: ""Just a little more Sharett - and everything will be Hebrew"". Other guests: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda and Hermann Zondek, Soskin, groups of journalists with the name of the newspaper they worked for next to each name (the large number of newspapers is notable); officials from government offices, including the representative of the ""Druze Office"".",Hebrew|German|English,רשימות|Personal Notes,handwriting,original,,1949,1953,,
IL-MTFN-001-G-F-0004-001-R0002,IL-MTFN-001-G-F-0004-001,Guestbook 1953-1967: Rotary Club Nahariya,"ספר אורחים 1953-1967: נשואים טריים שמבלים את ירח הדבש בנהריה. הקלוב של ""רוטרי נהריה"" נהג לערוך את פגישותיו בפנסיון כהן מאז 1952. בספר זה חתומים בין היתר: משה דיין, תיאודור הויז (אז נשיא גרמניה), רולף פאולוס (שגרירה הראשון של גרמניה בישראל), יוחאי בן-נון מפקד חיל הים, שהתארח יחד עם קבוצה של חיילים ועוד.","Gästebuch 1953-1967: Frisch verheiratete Paare, die ihre Flitterwochen in Nahariya verbringen. Der Rotary Club Nahariya hielt seit 1952 seine Treffen im Pension Cohen ab. In diesem Buch sind unter anderem unterschrieben: Moshe Dayan, Theodor Heuss (damals Präsident von Deutschland), Rolf Pauls (erster Botschafter Deutschlands in Israel), Yohai Ben-Nun, Kommandant der Marine, der zusammen mit einer Gruppe von Soldaten zu Gast war und andere.","Guestbook 1953-1967: Newlyweds spending their honeymoon in Nahariya. The Rotary Club of Nahariya used to hold its meetings at Pension Cohen since 1952. Among others, this book is signed by: Moshe Dayan, Theodor Heuss (then President of Germany), Rolf Pauls (Germany's first ambassador to Israel), Yohai Ben-Nun, Commander of the Navy, who visited with a group of soldiers, and others.",Hebrew,ספר|Book,,original,,1953,,,
IL-MTFN-001-G-F-0005-001-R0001,IL-MTFN-001-G-F-0005-001,Manuscript in Memory of Lotte Engel,"מנוסקריפט לזכרה של לוטה אנגל לבית הקר, בגרמנית ועברית ומודפס.","Manuskript zum Gedenken an Lotte Engel, geborene Ker, auf Deutsch und Hebräisch und gedruckt.","Manuscript in memory of Lotte Engel née Ker, in German and Hebrew and printed.",Hebrew|German,מכתב|Letter,typewriting,original,Lotte Engel,,,,
IL-MTFN-001-G-F-0005-002-R0002,IL-MTFN-001-G-F-0005-002,"Postcard from Udo Moses to his mother Johanna, 1914",גלויה ששולח החייל אודו מוזס אל אמו יוהנה בטיפאו 1914 (נהרג זמן קצר אחרי זה).,"Postkarte, die der Soldat Udo Moses an seine Mutter Johanna in Tifau 1914 schickt (kurz danach getötet).",Postcard sent by soldier Udo Moses to his mother Johanna in Tifau 1914 (killed shortly after).,German,גלויה|Postcard,other,original,Udo Moses,1914,,,
IL-MTFN-001-G-F-0005-002-R0006,IL-MTFN-001-G-F-0005-002,Letters of Udo Moses from Argentina,"אוסף לזכרו של אודו מוזס, ובו מכתבים של אודו מארגנטינה אל הוריו זמן קצר לפני פרוץ מלחמת העולם ומכתב קצר אחרי פרוץ המלחמה. אודו רוצה לחזור ל'מולדת' ולהלחם באויביה. הוא חזר, התגייס ונפל בשדה הקרב זמן קצר אחרי גיוסו.","Sammlung zum Gedenken an Udo Moses, mit Briefen von Udo aus Argentinien an seine Eltern kurz vor dem Ausbruch des Zweiten Weltkriegs und einem kurzen Brief nach dem Ausbruch des Krieges. Udo möchte in die 'Heimat' zurückkehren und gegen ihre Feinde kämpfen. Er kehrte zurück, trat in die Armee ein und fiel kurz nach seiner Einberufung auf dem Schlachtfeld.","Collection in memory of Udo Moses, containing letters from Udo from Argentina to his parents shortly before the outbreak of World War II and a short letter after the outbreak of the war. Udo wants to return to the 'homeland' and fight its enemies. He returned, enlisted, and fell on the battlefield shortly after his enlistment.",Hebrew,מכתב|Letter,,original,Udo Moses,,,,
IL-MTFN-001-G-F-0005-002-R0007,IL-MTFN-001-G-F-0005-002,Eulogy by Arthur Pelz,נאום הספד שנשא הידיד ארתור פלץ.,Trauerrede gehalten von Freund Arthur Pelz.,Eulogy delivered by friend Arthur Pelz.,Hebrew,נאום|Speech,,original,Arthur Pelz,,,,
IL-MTFN-001-G-F-0005-002-R0011,IL-MTFN-001-G-F-0005-002,Letters and Eulogy for Udo Moses,מכתבים והספד לאודו מוזס Udo Moses כפי שנמצאו במחברתה של פרידה הקר לבית מוזס.,"Briefe und Nachruf für Udo Moses, wie sie in Frida Hacars Notizbuch gefunden wurden.",Letters and eulogy for Udo Moses as found in Frida Hacar's notebook.,Hebrew,מכתב|Letter,,other,Udo Moses,,,,
IL-MTFN-001-G-F-0005-003-R0005,IL-MTFN-001-G-F-0005-003,Memories of Chana Frida Haker,"הספר 'כמיהות', זכרונות חנה פרידה הקר לבית מוזס, עברית","Das Buch 'Kmiot', Erinnerungen von Chana Frida Haker, geborene Moses, Hebräisch","The book 'Kmiot', Memories of Chana Frida Haker née Moses, Hebrew",Hebrew,ספר|Book,print,original,Chana Frida Haker,,,,
IL-MTFN-001-G-F-0008-001-R0005,IL-MTFN-001-G-F-0008-001,Family Tree,אילן יוחסין.,Stammbaum.,Family tree.,Unspecified,לא מזוהה,,original,,,,,
IL-MTFN-001-G-F-0008-001-R0007,IL-MTFN-001-G-F-0008-001,"Family Photos and Correspondence with Andrew Bergerson, 1993",צילומי תמונות משפחתיות והתכתבות עם Andrew Bergerson מהילדסהיים משנת 1993.,Familienfotos und Korrespondenz mit Andrew Bergerson aus Hildesheim aus dem Jahr 1993.,Family photos and correspondence with Andrew Bergerson from Hildesheim from 1993.,Hebrew|English,תצלום|Photograph|מכתב|Letter,photography,copy,Andrew Bergerson,1993,,,
