dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0008-001-R0015,IL-MTFN-001-G-F-0008-001,1000 German Mark Note 1910,שטר של 1000 מרק גרמני 1910.,1000 Deutsche Mark Schein 1910.,1000 German Mark note 1910.,German,לא מזוהה|Unrecognized,print,original,,1910,1910,,
IL-MTFN-001-G-F-0015-010-R0003,IL-MTFN-001-G-F-0015-010,Lists of Financial Details from Mrs. Kramer,"מסמך ללא תאריך, נכתב בגרמניה - עו""ד מפרנקפורט מקבל מגברת קרמר (אולי ג'ני) רשימות עם פירוט הכנסות, הוצאות וחובות של אנשים שונים, ביניהם רבים עם השם קרמר. המסמך הוא העתק של המקור.","Dokument ohne Datum, geschrieben in Deutschland - Ein Anwalt aus Frankfurt erhält von Frau Kramer (vielleicht Jenny) Listen mit Details zu Einnahmen, Ausgaben und Schulden verschiedener Personen, darunter viele mit dem Namen Kramer. Das Dokument ist eine Kopie des Originals.","Undated document, written in Germany - A lawyer from Frankfurt receives lists from Mrs. Kramer (possibly Jenny) detailing the income, expenses, and debts of various individuals, many of whom are named Kramer. The document is a copy of the original.",German,רשימה|List,,copy,Jenny Kramer,,,,
IL-MTFN-001-G-F-0022-001-R0003,IL-MTFN-001-G-F-0022-001,Nahariya Loan Fund Notebook,"מחברת עליה כתוב בכתב יד בעברית ""קופת מלוה נהריה"" ובתוכה רישומי הפקדות והוצאות כספים מהשנים 1947-1963.","Ein Notizbuch mit handschriftlichem Text auf Hebräisch ""Kuppat Malveh Nahariya"" und darin Aufzeichnungen von Einzahlungen und Ausgaben von 1947-1963.","A notebook with handwritten Hebrew text ""Nahariya Loan Fund"" and inside, records of deposits and expenditures from the years 1947-1963.",Hebrew,פנקס|Notepad,handwriting,original,,1947,,,
IL-MTFN-001-G-F-0022-005-R0008,IL-MTFN-001-G-F-0022-005,Voucher Booklet for Elisheva and Ernst Weil,"פנקס תלושים לאלישבע (ליזבט) וייל ילידת 1895 ולארנסט וייל, יליד 1899. משרד החקלאות; אגף המזון; ענף תקצוב לצרכן.","Gutscheinheft für Elisheva (Lisbeth) Weil, geboren 1895, und Ernst Weil, geboren 1899. Landwirtschaftsministerium; Lebensmittelabteilung; Verbraucherbudgetierungszweig.","Voucher booklet for Elisheva (Lisbeth) Weil, born 1895, and Ernst Weil, born 1899. Ministry of Agriculture; Food Division; Consumer Budgeting Branch.",Hebrew,פנקס|Notepad,,original,Elisheva Weil|Ernst Weil,,,,
IL-MTFN-001-G-F-0022-005-R0009,IL-MTFN-001-G-F-0022-005,"Savings Book of Tzel Kori, Mizrahi Bank, 1935","פנקס חיסכון של ""צל קורתי"", בנק המזרחי, תל אביב, 1935.","Sparbuch von ""Tzel Kori"", Mizrahi Bank, Tel Aviv, 1935.","Savings book of ""Tzel Kori"", Mizrahi Bank, Tel Aviv, 1935.",Hebrew,פנקס|Notepad,,original,,1935,,,
IL-MTFN-001-G-F-0022-005-R0013,IL-MTFN-001-G-F-0022-005,"Bank Account Management Notebook, Bad Kreuznach, 1930s","פנקס לניהול חשבונות בנק, בד;קרויצנך Bad Kreuznach שנות 1930;32.","Kontobuch, Stoff; Kreuznach Bad Kreuznach 1930er Jahre; 32.","Bank account management notebook, fabric; Kreuznach Bad Kreuznach 1930s; 32.",Hebrew,פנקס|Notepad,,original,,1930,,,
IL-MTFN-001-G-F-0022-005-R0017,IL-MTFN-001-G-F-0022-005,"Anglo-Palestine Bank Book, Tel Aviv, 1933","פנקס בנק ""אנגלו;פלשתינה, תל אביב, 1933.","Bankbuch ""Anglo-Palästina, Tel Aviv, 1933.","Bank book ""Anglo-Palestine, Tel Aviv, 1933.",Hebrew,פנקס|Notepad,,original,,1933,,,
IL-MTFN-001-G-F-0022-005-R0018,IL-MTFN-001-G-F-0022-005,"Receipt for Shekel Payment, 1935","קבלה על תשלום ה""שקל"", סך 50 מיל, 1935.","Quittung für die Zahlung des 'Shekel', Betrag 50 Mill, 1935.","Receipt for the payment of the 'Shekel', amount 50 Mill, 1935.",Hebrew,קבלה|Receipt,print,original,,1935,,,
IL-MTFN-001-G-F-0041-001-R0006,IL-MTFN-001-G-F-0041-001,"List of Blumenthal Family Homeowners and Town Revenues, 1797","רשימת בעלי הבית של משפ. בלומנטל ב אולדנדורף Lange Str.25, Oldendorf; 1797 רשימת ההכנסות של העיירה אולנדורף Olendorf.","Liste der Hausbesitzer der Familie Blumenthal in Oldendorf Lange Str.25, Oldendorf; 1797 Liste der Einnahmen der Stadt Olendorf.","List of the homeowners of the Blumenthal family in Oldendorf Lange Str.25, Oldendorf; 1797 List of the revenues of the town Olendorf.",Hebrew,רשימה|List,,original,,1797,,,
IL-MTFN-001-G-F-0053-003-R0002,IL-MTFN-001-G-F-0053-003,1824 Hildesheim Payments,"1824 Hildesheim, תשלומים עבור חסויות","1824 Hildesheim, Zahlungen für Patenschaften","1824 Hildesheim, Payments for Sponsorships",Unspecified,Receipt,,original,,1824,,,
