dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0004-001-R0006,IL-MTFN-001-G-F-0004-001,Pictures of Pension Cohen and Guests,"תמונות של פנסיון כהן כפי שהיה, תמונות אורחים נופשים; ביו היתר תמונות של ותיקי נהריה במפגש עם תאודור הויז, תמונות משפחתיות של ריכרד וגרטל כהן.","Bilder von Pension Cohen wie es war, Bilder von Urlaubsgästen; unter anderem Bilder von Veteranen von Nahariya bei einem Treffen mit Theodor Heuss, Familienbilder von Richard und Gretel Cohen.","Pictures of Pension Cohen as it was, pictures of vacationing guests; among others, pictures of Nahariya veterans meeting with Theodor Heuss, family pictures of Richard and Gretel Cohen.",Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0005-001-R0003,IL-MTFN-001-G-F-0005-001,Printed Pages from Family Website,13 עמודים מודפסים מתוך אתר המשפחה באינטרנטץ הטקסטים באנגלית מלווים בתמונות.,13 gedruckte Seiten von der Familien-Website im Internet. Die Texte sind auf Englisch und werden von Bildern begleitet.,13 printed pages from the family website on the internet. The texts are in English and accompanied by pictures.,English,דף אינטרנט|Web Page,print,copy,,,,,13
IL-MTFN-001-G-F-0005-002-R0001,IL-MTFN-001-G-F-0005-002,"Family Tree of Reines, Moses, Haker","צילום של אילן היוחסין של משפחות: ריינס, מוזס, הקר.","Fotografie des Stammbaums der Familien: Reines, Moses, Haker.","Photograph of the family tree of the families: Reines, Moses, Haker.",Unspecified,תצלום|Photograph,photography,copy,,,,,
IL-MTFN-001-G-F-0005-002-R0004,IL-MTFN-001-G-F-0005-002,Photograph of Udo Moses as a Soldier,תצלום של אודו מוזס כחייל.,Foto von Udo Moses als Soldat.,Photograph of Udo Moses as a soldier.,Unspecified,תצלום|Photograph,photography,original,Udo Moses,,,,
IL-MTFN-001-G-F-0005-002-R0005,IL-MTFN-001-G-F-0005-002,"Photograph of Johanna, Dorothea, and Henrietta Reinus","תצלום של יוהנה, דורותיאה והנרייטה לבית ריינוס.","Foto von Johanna, Dorothea und Henriette aus der Familie Reinus.","Photograph of Johanna, Dorothea, and Henrietta from the Reinus family.",Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0005-002-R0012,IL-MTFN-001-G-F-0005-002,Picture of Udo Moses as a Soldier,תמונה של אודו מוזס כחייל.,Ein Bild von Udo Moses als Soldat.,A picture of Udo Moses as a soldier.,Unspecified,תצלום|Photograph,photography,original,Udo Moses,,,,
IL-MTFN-001-G-F-0005-002-R0013,IL-MTFN-001-G-F-0005-002,"Picture of Johanna, Dorothea, and Henriette Reinus","תמונה של יוהנה, דורותיאה והנרייטה לבית ריינוס Johanna, Dorothea, Henriette Reinus.","Bild von Johanna, Dorothea und Henriette aus der Familie Reinus.","Picture of Johanna, Dorothea, and Henriette from the Reinus family.",Unspecified,תצלום|Photograph,photography,original,Johanna|Dorothea|Henriette Reinus,,,,
IL-MTFN-001-G-F-0005-003-R0002,IL-MTFN-001-G-F-0005-003,Portrait of Johanna Moses,תמונת דיוקן של יוהנה מוזס,Porträtbild von Johanna Moses,Portrait picture of Johanna Moses,Unspecified,תצלום|Photograph,photography,original,יוהנה מוזס,,,,
IL-MTFN-001-G-F-0008-001-R0001,IL-MTFN-001-G-F-0008-001,"Jewish Women's Organization, Hildesheim Photos","תמונות של אירגון נשים יהודיות, הילדסהיים; Jüd. Frauenverein Hildesheim.","Bilder des jüdischen Frauenvereins, Hildesheim; Jüd. Frauenverein Hildesheim.","Pictures of the Jewish Women's Organization, Hildesheim; Jüd. Frauenverein Hildesheim.",Unspecified,תצלום|Photograph,,original,,,,,
IL-MTFN-001-G-F-0008-001-R0002,IL-MTFN-001-G-F-0008-001,Photographs of Folk Celebration in Hildesheim,תצלומים של חגיגה עממית בהילדסהיים; Swimmverein Hildesheim - אירגון שחייה.,Fotos von einer Volksfeier in Hildesheim; Schwimmverein Hildesheim - Schwimmverein.,Photographs of a folk celebration in Hildesheim; Swimmverein Hildesheim - Swimming organization.,Unspecified,תצלום|Photograph,photography,original,,,,,
IL-MTFN-001-G-F-0008-001-R0003,IL-MTFN-001-G-F-0008-001,Family Photos of the Loser Family (1895-1945),"תמונות משפחתיות, משפחת לוזר, מהשנים 1895-1945.","Familienfotos, Familie Loser, aus den Jahren 1895-1945.","Family photos, Loser family, from the years 1895-1945.",Unspecified,תצלום|Photograph,photography,original,משפחת לוזר,1895,1945,,
