dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0008-002-R0010,IL-MTFN-001-G-F-0008-002,"Affidavit for Luzer and Family, 1942","צילום תעודת התחייבות מארה""ב, Affidavit, עבור לוזר ומשפחתו ב-1942 מאת Louis P. Stein.","Foto einer Verpflichtungserklärung aus den USA, Affidavit, für Luzer und seine Familie im Jahr 1942 von Louis P. Stein.","Photograph of a commitment certificate from the USA, Affidavit, for Luzer and his family in 1942 by Louis P. Stein.",English,תעודה|Certificate,photography,copy,Louis P. Stein,1942,,,
IL-MTFN-001-G-F-0012-002-R0003,IL-MTFN-001-G-F-0012-002,Lottery Form and Attendance Certificate for Salomon Pink,"ללא תאריך, טופס הגרלה ובקורת התייצבות (תרגום חופשי): Loosungs-Schein und Gestellungs-Attest לחייב בגיוס סלומון פינק שזכה במספר 111;","Ohne Datum, Losungs-Schein und Gestellungs-Attest für den Wehrpflichtigen Salomon Pink, der die Nummer 111 gewonnen hat.","Undated, lottery form and attendance certificate (free translation): Loosungs-Schein und Gestellungs-Attest for conscript Salomon Pink who won number 111.",German,טופס|Form,,original,Salomon Pink,,,,
IL-MTFN-001-G-F-0012-002-R0010,IL-MTFN-001-G-F-0012-002,"Residence Permit for Salomon Fink, 1902","1902, אישור שהייה ברייכנזכסן לסוחר הנוסע סלומון פינק. הוצא ע""י המשטרה המלכותית בדרזדן Drezden;","1902, Aufenthaltserlaubnis in Reichenbach für den reisenden Händler Salomon Fink. Ausgestellt von der königlichen Polizei in Dresden.","1902, Residence permit in Reichenbach for the traveling merchant Salomon Fink. Issued by the royal police in Dresden.",German,תעודה|Certificate,other,original,Salomon Fink,1902,,,
IL-MTFN-001-G-F-0012-002-R0022,IL-MTFN-001-G-F-0012-002,German Passport of Paul Fink,"דרכון גרמני של פאול פינק, הונפק ב-1934. ב-1938 הוסיפו לדרכון את האות 'J' ואת השם ""ישראל"" כמו כן את החותמת עם צלב הקרס;","Deutscher Pass von Paul Fink, ausgestellt 1934. 1938 wurde dem Pass der Buchstabe 'J' und der Name 'Israel' hinzugefügt sowie der Stempel mit dem Hakenkreuz.","German passport of Paul Fink, issued in 1934. In 1938, the letter 'J' and the name 'Israel' were added to the passport, as well as the stamp with the swastika.",German,תעודה|Certificate,print,original,Paul Fink,1934,,,
IL-MTFN-001-G-F-0022-003-R0003,IL-MTFN-001-G-F-0022-003,Bylaws in German,"חוקי עזר, בגרמנית.","Satzungen, auf Deutsch.","Bylaws, in German.",German,לא מזוהה,,original,,,,,
IL-MTFN-001-G-F-0022-004-R0004,IL-MTFN-001-G-F-0022-004,Document for Obtaining Affidavit,המסמך נכתב עבור קבלת Affidavit.,Das Dokument wurde für den Erhalt einer eidesstattlichen Erklärung geschrieben.,The document was written for obtaining an Affidavit.,Unspecified,מסמך מתורגם|Translated Document,,original,,,,,
IL-MTFN-001-G-F-0022-004-R0005,IL-MTFN-001-G-F-0022-004,Documents and Correspondence with German Authorities,"מסמכים והתכתבויות עם עו""ד והרשויות בגרמניה, בתקופת הרייך השלישי, בקשר עם זכויותו המקצועיות של ד""ר וייל וחובות כספיים שלזכותו.","Dokumente und Korrespondenz mit Anwälten und Behörden in Deutschland während der Zeit des Dritten Reiches, in Bezug auf die beruflichen Rechte von Dr. Weil und finanzielle Verpflichtungen zu seinen Gunsten.","Documents and correspondence with lawyers and authorities in Germany during the Third Reich period, regarding Dr. Weil's professional rights and financial obligations in his favor.",Hebrew|German,Letter,,other,Dr. Weil,,,,
IL-MTFN-001-G-F-0022-005-R0015,IL-MTFN-001-G-F-0022-005,רשיון כניסה לארנסט וייל,"רשיון כניסה, של ""ממשל צבאי בשטחים המוחזקים"" לארנסט וייל, רופא, הנ""ל רשאי לנסוע לנצרת ולגליל המזרחי, 1950.","Einreisegenehmigung des ""Militärverwaltung in den besetzten Gebieten"" für Ernst Weil, Arzt, der berechtigt ist, nach Nazareth und Ostgaliläa zu reisen, 1950.","Entry permit of the ""Military Government in the Occupied Territories"" for Ernst Weil, a doctor, who is allowed to travel to Nazareth and the Eastern Galilee, 1950.",Hebrew,תעודה|Certificate,,original,ארנסט וייל,1950,,,
IL-MTFN-001-G-F-0022-005-R0016,IL-MTFN-001-G-F-0022-005,Driver's and Vehicle Licenses from the 1970s,"רשיונות נהיגה ורכב, שנות ה-70 למאה ה-20.","Führerscheine und Fahrzeuglizenzen, 1970er Jahre des 20. Jahrhunderts.","Driver's licenses and vehicle licenses, 1970s of the 20th century.",Hebrew,תעודה|Certificate,,original,,1970,,,
IL-MTFN-001-G-F-0022-008-R0015,IL-MTFN-001-G-F-0022-008,"Police Document on Weil Family's Departure from Bad Kreuznach, 1933","צילום, מסמך משטרתי על עזיבת משפחת וייל, ארנסט ליזבט, לוטה ואורזולה את העיר בד קרויצנך, 1933.","Fotografie, Polizeidokument über das Verlassen der Stadt Bad Kreuznach durch die Familie Weil, Ernst, Lisbeth, Lotte und Ursula, 1933.","Photograph, police document about the departure of the Weil family, Ernst, Lisbeth, Lotte, and Ursula from the city of Bad Kreuznach, 1933.",German,מסמך מתורגם|Translated Document,photography,copy,Weil Family,1933,,,
