dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0022-012-R0005,IL-MTFN-001-G-F-0022-012,Liller Kriegszeitung 1915,עיתון בגרמנית Liller Kriegszeitung משנת 1915.,Zeitung auf Deutsch Liller Kriegszeitung aus dem Jahr 1915.,Newspaper in German Liller Kriegszeitung from the year 1915.,German,עיתון|Newspaper,print,original,,1915,1915,,
IL-MTFN-001-G-F-0071-002-R0007,IL-MTFN-001-G-F-0071-002,1927 French Newspaper on Jewish Topics,"1927 עיתון צרפתי, פריס בנושאים לקבל היהודי, בין היתר מאמר על משפחות / שמות יהודים מאת יוסף בלוך Joseph Bloch","1927 französische Zeitung, Paris zu Themen der jüdischen Gemeinde, unter anderem ein Artikel über jüdische Familien/Namen von Joseph Bloch.","1927 French newspaper, Paris on topics for the Jewish community, including an article on Jewish families/names by Joseph Bloch.",Other,עיתון|Newspaper,print,original,Joseph Bloch,,1927,,
IL-MTFN-001-G-F-0113-059-R0001,IL-MTFN-001-G-F-0113-059,"Die Zeit Newspaper, Late 1960s","העיתון, סוף שנות ה-60 Die Zeit, Hamburg","Die Zeitung, Ende der 60er Jahre Die Zeit, Hamburg","The newspaper, late 1960s Die Zeit, Hamburg",German,עיתון|Newspaper,print,original,,,1960,,
IL-MTFN-001-G-F-0113-059-R0003,IL-MTFN-001-G-F-0113-059,"The Jerusalem Post, 1970s","העיתון The Jerusalem Post, שנות ה-70","Die Zeitung The Jerusalem Post, 1970er Jahre","The newspaper The Jerusalem Post, 1970s",English,עיתון|Newspaper,print,original,,,1970,,
IL-MTFN-001-G-F-0113-059-R0009,IL-MTFN-001-G-F-0113-059,"Der Aufbau Newspaper, 1968","העיתון Der Aufbau, New York 1968","Die Zeitung Der Aufbau, New York 1968","The newspaper Der Aufbau, New York 1968",German,עיתון|Newspaper,print,original,,,1968,,
IL-MTFN-001-G-F-0113-059-R0010,IL-MTFN-001-G-F-0113-059,"Der Spiegel Newspaper, Hamburg, Late 1960s","העיתון Der Spiegel, Hamburg, סוף שנות ה-60 למאה ה-20","Die Zeitung Der Spiegel, Hamburg, Ende der 60er Jahre des 20. Jahrhunderts","The newspaper Der Spiegel, Hamburg, late 1960s of the 20th century",German|גרמנית,עיתון|Newspaper,print,original,Der Spiegel,1960,,,
IL-MTFN-001-G-F-0267-004-R0006,IL-MTFN-001-G-F-0267-004,Der Freischütz Newspaper 1943 - 50th Anniversary of Israel Eisler,עיתון בגרמנית מ-1943 Der Freischütz בו מוזכר יובל ה;50 של ישראל איזלר.,"Eine deutsche Zeitung von 1943 Der Freischütz, in der das 50-jährige Jubiläum von Israel Eisler erwähnt wird.","A German newspaper from 1943 Der Freischütz, in which the 50th anniversary of Israel Eisler is mentioned.",German|גרמנית,עיתון|Newspaper,print,original,ישראל איזלר,1943,1943,,
IL-MTFN-001-G-F-0267-005-R0007,IL-MTFN-001-G-F-0267-005,19th Century Newspapers with Articles by Dr. Meyer Eisler,"עיתונים מהמאה ה-19 בהם מאמרים (סומנו באדום ע""י התורם), שנכתבו ע""י ד""ר מאייר איזלר.","Zeitungen aus dem 19. Jahrhundert mit Artikeln (vom Spender in Rot markiert), geschrieben von Dr. Meyer Eisler.","Newspapers from the 19th century containing articles (marked in red by the donor), written by Dr. Meyer Eisler.",German,עיתון|Newspaper,print,original,Dr. Meyer Eisler,,,,
IL-MTFN-001-G-F-0280-001-R0010,IL-MTFN-001-G-F-0280-001,"Camp News No. 72, January 1942","עיתון בגרמנית מינואר 1942 ""חדשות המחנה"" מס. 72 Camp News; מודפס במכונת כתיבהץ העיתון שימש את אוכלוסיית המחנה הופיעו בו חוץ מדווחים ופעילויות של המחנה גם כתיבה על הפוליטיקה עולמית והמלחמה.","Deutsche Zeitung vom Januar 1942 ""Nachrichten des Lagers"" Nr. 72 Camp News; mit Schreibmaschine getippt. Die Zeitung diente der Lagerbevölkerung und enthielt neben Berichten und Aktivitäten des Lagers auch Artikel über die Weltpolitik und den Krieg.","German newspaper from January 1942 ""Camp News"" No. 72; typed on a typewriter. The newspaper served the camp population and included reports and activities of the camp as well as writings on world politics and the war.",German,עיתון|Newspaper,typewriting,original,,1942-01,1942-01,,
IL-MTFN-001-G-F-0371-002-R0008,IL-MTFN-001-G-F-0371-002,"Monthly Newspaper of Jewish Student Associations in Königsberg, 1913","עיתון חודשי של אגודות הסטודנטים היהודים בקניגסברג Königsberg משנת 1913, הומוריסטי.","Monatszeitung der jüdischen Studentenvereinigungen in Königsberg aus dem Jahr 1913, humoristisch.","Monthly newspaper of the Jewish student associations in Königsberg from 1913, humorous.",Hebrew|German,עיתון|Newspaper,print,original,,1913,1913,,
IL-MTFN-001-G-F-0423-003-R0002,IL-MTFN-001-G-F-0423-003,"גיליון פסח של 'אחוד שיבת ציון', אפריל 1958","עיתון, גיליון פסח של 'אחוד שיבת ציון', אפריל 1958, בתוכו מאמר של ד""ר ארנסט אליקים קלמוס עם הכותרת: Wesen der jüdischen Gebete תרגום: מהות התפילות היהודיות.","Zeitung, Pessach-Ausgabe von 'Akhud Shivat Zion', April 1958, enthält einen Artikel von Dr. Ernst Eliakim Kalmos mit dem Titel: Wesen der jüdischen Gebete Übersetzung: Die Essenz der jüdischen Gebete.","Newspaper, Passover edition of 'Akhud Shivat Zion', April 1958, containing an article by Dr. Ernst Eliakim Kalmos titled: Wesen der jüdischen Gebete Translation: The Essence of Jewish Prayers.",Hebrew|German,עיתון,print,original,"ד""ר ארנסט אליקים קלמוס",,1958-04,,
