dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0009-004-R0001,IL-MTFN-001-G-F-0009-004,"Prayer Book for Youth, 1904","ספר תפילות לנוער לתפילת שבת אחה""צ, שייך להלה לוקס משנת 1904; Gebet=Ordnung für den Jugendgottesdienst in der jüdische Gemeinde zu Berlin;","Gebetbuch für die Jugend für den Nachmittagsgottesdienst am Sabbat, gehört Hella Lux aus dem Jahr 1904; Gebet=Ordnung für den Jugendgottesdienst in der jüdischen Gemeinde zu Berlin;","Prayer book for youth for the Sabbath afternoon service, belonging to Hella Lux from the year 1904; Prayer=Order for the youth service in the Jewish community in Berlin;",Hebrew|German,Book,print,original,Hella Lux,1904,,,
IL-MTFN-001-G-F-0223-003-R0001,IL-MTFN-001-G-F-0223-003,Memorial Scroll for Jewish Martyrs,"מגילת ייזכור לזכרם של הרוגי מלכות שמתו על קידוש השם לאורך ההיסטוריה היהודית. המגילה נכתבה ביד ע""י חנן דוד בקליגרפיה מקראית. שנת 1988.","Gedenkrolle zum Gedenken an die Märtyrer, die im Laufe der jüdischen Geschichte für die Heiligung des Namens gestorben sind. Die Rolle wurde von Hanan David in biblischer Kalligraphie handgeschrieben. Jahr 1988.",Memorial scroll in memory of the martyrs who died for the sanctification of the name throughout Jewish history. The scroll was handwritten by Hanan David in biblical calligraphy. Year 1988.,Hebrew,לא מזוהה,handwriting,original,,1988,,,
IL-MTFN-001-G-F-0240-001-R0001,IL-MTFN-001-G-F-0240-001,Megillat Esther 1938,"1938, מגילת אסתר","1938, Buch Esther","1938, Book of Esther",Hebrew,Book,,original,,1938,,,
IL-MTFN-001-G-F-0273-001-R0001,IL-MTFN-001-G-F-0273-001,Passover Haggadah Book of Joseph Baer,"ספר הגדה לפסח מ-1914 שהיה שייך ליוסף בר, החייל היהודי שנפל בקרב ב-1917; ראה שולחן תצוגה 'צבא' במוזיאון. בספר הקדשה:; Joseph Baer Sanitäts Unteroff. Von der Freien Vereinigung für die Interessn des orthodoxen Judentums / nan","Haggada-Buch für Pessach von 1914, das Joseph Baer gehörte, dem jüdischen Soldaten, der 1917 im Kampf fiel; siehe Ausstellungstisch 'Armee' im Museum. Im Buch eine Widmung: Joseph Baer Sanitäts Unteroff. Von der Freien Vereinigung für die Interessen des orthodoxen Judentums / nan","Passover Haggadah book from 1914 that belonged to Joseph Baer, the Jewish soldier who fell in battle in 1917; see 'Army' display table in the museum. In the book a dedication: Joseph Baer Sanitäts Unteroff. From the Free Association for the Interests of Orthodox Judaism / nan",Hebrew|German,ספר|Book,print,original,Joseph Baer,1914,,,
IL-MTFN-001-G-F-0280-001-R0012,IL-MTFN-001-G-F-0280-001,"Program and Prayers from Australian Camps, 1942",מהמחנות באוסטרליה: תכנית לעונג שבת 1942 ותפילות שנכתבו בגרמנית עם שיבוץ משפטים בעברית.,"Aus den Lagern in Australien: Programm für den Sabbatabend 1942 und Gebete, die auf Deutsch mit eingestreuten hebräischen Sätzen geschrieben wurden.",From the camps in Australia: Program for Sabbath delight 1942 and prayers written in German with inserted sentences in Hebrew.,German|Hebrew,תכניה|Playbill,typewriting,original,,1942,,,
IL-MTFN-001-G-F-0290-002-R0002,IL-MTFN-001-G-F-0290-002,Prayer Book for the Jewish Soldier,ספר תפילות לחייל היהודי; בעברית וגרמנית.,Gebetbuch für den jüdischen Soldaten; auf Hebräisch und Deutsch.,Prayer book for the Jewish soldier; in Hebrew and German.,Hebrew|German,Book,print,original,,,,,
IL-MTFN-001-G-F-0334-001-R0001,IL-MTFN-001-G-F-0334-001,Yahrzeit and Mourning Book by Melvina Rosenberger,ספר אזכרות ואבל Jahrzeits und Trauer;Andachtsbuch של מלוינה /מינה רוזנברגר.,Jahrzeits und Trauer; Andachtsbuch von Melvina / Mina Rosenberger.,Yahrzeit and Mourning; Prayer Book of Melvina / Mina Rosenberger.,Hebrew|German,Book,print,original,Melvina Rosenberger,,,,
IL-MTFN-001-G-F-0380-002-R0001,IL-MTFN-001-G-F-0380-002,"Grace after Meals in Hebrew, Frankfurt am Main","בלי תאריך, Frankfurt am Main, ברכת המזון בעברית, כרוך.","Ohne Datum, Frankfurt am Main, Tischgebet auf Hebräisch, gebunden.","Without date, Frankfurt am Main, Grace after Meals in Hebrew, bound.",Hebrew,לא מזוהה,,original,,,,,
IL-MTFN-001-G-F-0433-001-R0002,IL-MTFN-001-G-F-0433-001,"סידור תפילות לחיילים יהודים, 1914","סידור תפילות לחיילים יהודים Feldgebetbuch für die jüdischen Manschafften des Heeres, 1914.","Gebetbuch für jüdische Soldaten Feldgebetbuch für die jüdischen Manschafften des Heeres, 1914.","Prayer book for Jewish soldiers Feldgebetbuch für die jüdischen Manschafften des Heeres, 1914.",Hebrew|German,ספר|Book,print,original,,1914,1914,,
IL-MTFN-001-G-F-0480-001-R0018,IL-MTFN-001-G-F-0480-001,Scroll of Esther,"מגילה 'מגילת אסתר', קצת ניזוקה. ללא ציון שנה.","Rolle 'Buch Esther', etwas beschädigt. Ohne Jahresangabe.","Scroll 'Book of Esther', slightly damaged. No year indicated.",Hebrew,לא מזוהה,handwriting,original,,,,,
