dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0113-033-R0001,IL-MTFN-001-G-F-0113-033,Beethoven Document,"1.,Beethoven ;;;;;;; + מספר עמודים בעברית;","1., Beethoven ;;;;;;; + Anzahl der Seiten auf Hebräisch;","1., Beethoven ;;;;;;; + number of pages in Hebrew;",Unspecified,לא מזוהה,,other,Beethoven,,,,
IL-MTFN-001-G-F-0113-033-R0015,IL-MTFN-001-G-F-0113-033,Art and Politics,"15.,Kunst und Politik;",Kunst und Politik,Art and Politics,Unspecified,לא מזוהה,,other,,,,,
IL-MTFN-001-G-F-0113-034-R0005,IL-MTFN-001-G-F-0113-034,On Popularity,5. Von der Popularität,5. Von der Popularität,5. On Popularity,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-034-R0009,IL-MTFN-001-G-F-0113-034,Die Hände,9. Die Hände,9. Die Hände,9. The Hands,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-034-R0011,IL-MTFN-001-G-F-0113-034,Kennen Sie Schumann?,11. Kennen Sie Schumann?,11. Kennen Sie Schumann?,11. Do you know Schumann?,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-034-R0013,IL-MTFN-001-G-F-0113-034,Mordechai Moretzky,13. Mordechai Moretzky,13. Mordechai Moretzky,13. Mordechai Moretzky,Unspecified,Unrecognized,,other,Mordechai Moretzky,,,,
IL-MTFN-001-G-F-0113-039-R0001,IL-MTFN-001-G-F-0113-039,Friedel Casanova Document,13 עמודים Friedel Casanova,13 Seiten Friedel Casanova,13 pages Friedel Casanova,Unspecified,Unrecognized,,other,Friedel Casanova,,,,13
IL-MTFN-001-G-F-0113-039-R0010,IL-MTFN-001-G-F-0113-039,Carlo Colombo Document,9 עמודים Carlo Colombo,9 Seiten Carlo Colombo,9 pages Carlo Colombo,Unspecified,Unrecognized,,other,Carlo Colombo,,,,9
IL-MTFN-001-G-F-0113-039-R0012,IL-MTFN-001-G-F-0113-039,Der Freund,13 עמודים Der Freund,13 Seiten Der Freund,13 pages Der Freund,Unspecified,Unrecognized,,other,,,,,13
IL-MTFN-001-G-F-0113-039-R0014,IL-MTFN-001-G-F-0113-039,Slim Document,3 עמודים Slim,3 Seiten Slim,3 pages Slim,Unspecified,לא מזוהה,,other,,,,,3
IL-MTFN-001-G-F-0113-039-R0023,IL-MTFN-001-G-F-0113-039,Das Suelmer Tor,18 עממודים Das Suelmer Tor,18 Seiten Das Suelmer Tor,18 pages Das Suelmer Tor,Unspecified,Unrecognized,,original,,,,,18
IL-MTFN-001-G-F-0113-040-R0008,IL-MTFN-001-G-F-0113-040,Der Mezger,Der Mezger,Der Metzger,The Butcher,Unspecified,לא מזוהה,,other,,,,,
IL-MTFN-001-G-F-0113-040-R0009,IL-MTFN-001-G-F-0113-040,Pampalas Minas,Pampalas Minas,Pampalas Minas,Pampalas Minas,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-040-R0011,IL-MTFN-001-G-F-0113-040,Serie12 1947,Serie12 1947,Serie12 1947,Serie12 1947,Unspecified,לא מזוהה,,other,,1947,,,
IL-MTFN-001-G-F-0113-040-R0012,IL-MTFN-001-G-F-0113-040,Revanche,Revanche,Revanche,Revenge,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-040-R0024,IL-MTFN-001-G-F-0113-040,Hatikwa Document,"18 עמודים, אין תאריך,Hatikwa","18 Seiten, kein Datum, Hatikwa","18 pages, no date, Hatikwa",Unspecified,Unrecognized,,other,,,,,18
IL-MTFN-001-G-F-0113-040-R0028,IL-MTFN-001-G-F-0113-040,Enid Read 1. Fassung,אין תאריך Enid Read 1. Fassung nan,Kein Datum Enid Read 1. Fassung nan,No date Enid Read 1. Version nan,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-049-R0021,IL-MTFN-001-G-F-0113-049,For Edmund 1979,Fuer Edmund 1979,Für Edmund 1979,For Edmund 1979,Unspecified,Unrecognized,,other,Edmund,1979,,,
IL-MTFN-001-G-F-0113-049-R0029,IL-MTFN-001-G-F-0113-049,For Grethe Cahn,Fuer Grethe Cahn,Für Grethe Cahn,For Grethe Cahn,Unspecified,Unrecognized,,other,Grethe Cahn,,,,
IL-MTFN-001-G-F-0113-049-R0030,IL-MTFN-001-G-F-0113-049,Freundschaft,Freundschaft,Freundschaft,Friendship,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-049-R0031,IL-MTFN-001-G-F-0113-049,For Ernst Wollf 1977,Fuer Ernst Wollf 1977,Für Ernst Wollf 1977,For Ernst Wollf 1977,Unspecified,Unrecognized,,original,Ernst Wollf,1977,,,
IL-MTFN-001-G-F-0113-050-R0005,IL-MTFN-001-G-F-0113-050,Chanuka Neschef,Chanuka Neschef,Chanuka Neschef,Chanuka Neschef,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0009,IL-MTFN-001-G-F-0113-050,Brith,Brith,Brit,Brit,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0012,IL-MTFN-001-G-F-0113-050,Nahariya,Nahariya,Nahariya,Nahariya,Unspecified,לא מזוהה,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0027,IL-MTFN-001-G-F-0113-050,Im Huehnerstall,Im Huehnerstall,Im Hühnerstall,In the Chicken Coop,Unspecified,לא מזוהה,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0032,IL-MTFN-001-G-F-0113-050,Florence,Florence,Florenz,Florence,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0042,IL-MTFN-001-G-F-0113-050,Olympic Spring,Olympische Fruehling,Olympischer Frühling,Olympic Spring,German,לא מזוהה,,original,,,,,
IL-MTFN-001-G-F-0113-050-R0048,IL-MTFN-001-G-F-0113-050,Zuneigung,Zuneigung,Zuneigung,Affection,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0113-050-R0049,IL-MTFN-001-G-F-0113-050,2nd Version,2 Fassung nan,2. Fassung nan,2nd version nan,Unspecified,Unrecognized,,other,,,,,
IL-MTFN-001-G-F-0166-001-R0010,IL-MTFN-001-G-F-0166-001,"H. Borodianski, 1910s-1930s","ה. בורודיאנסקי H. Borodianski, שנות ה-10, ה-20, ה-30 למאה ה-20.","H. Borodianski, 1910er, 1920er, 1930er Jahre des 20. Jahrhunderts.","H. Borodianski, 1910s, 1920s, 1930s of the 20th century.",Unspecified,לא מזוהה,,other,H. Borodianski,,,,
IL-MTFN-001-G-F-0166-001-R0015,IL-MTFN-001-G-F-0166-001,M. Gontzer,מ. גונצר ללא תאריך.,M. Gontzer ohne Datum.,M. Gontzer without date.,Unspecified,Unrecognized,,other,M. Gontzer,,,,
